"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"3","com.salesmanager.core.model.generic","/app/sm-core-model/src/main/java/com/salesmanager/core/model/generic/SalesManagerEntity.java","3","97","Avoid appending characters as strings in StringBuffer.append.","Performance","AppendCharacterWithChar"
"4","com.salesmanager.core.model.generic","/app/sm-core-model/src/main/java/com/salesmanager/core/model/generic/SalesManagerEntity.java","3","97","StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","Performance","ConsecutiveAppendsShouldReuse"
"5","com.salesmanager.core.model.generic","/app/sm-core-model/src/main/java/com/salesmanager/core/model/generic/SalesManagerEntity.java","3","98","StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","Performance","ConsecutiveAppendsShouldReuse"
"6","com.salesmanager.core.model.generic","/app/sm-core-model/src/main/java/com/salesmanager/core/model/generic/SalesManagerEntity.java","3","99","Avoid appending characters as strings in StringBuffer.append.","Performance","AppendCharacterWithChar"
"7","com.salesmanager.core.model.generic","/app/sm-core-model/src/main/java/com/salesmanager/core/model/generic/SalesManagerEntity.java","3","99","StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","Performance","ConsecutiveAppendsShouldReuse"
"8","com.salesmanager.core.model.generic","/app/sm-core-model/src/main/java/com/salesmanager/core/model/generic/SalesManagerEntity.java","3","100","StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","Performance","ConsecutiveAppendsShouldReuse"
"9","com.salesmanager.core.model.generic","/app/sm-core-model/src/main/java/com/salesmanager/core/model/generic/SalesManagerEntity.java","3","101","Avoid appending characters as strings in StringBuffer.append.","Performance","AppendCharacterWithChar"
"1","com.salesmanager.core.model.merchant","/app/sm-core-model/src/main/java/com/salesmanager/core/model/merchant/MerchantStore.java","3","109","Avoid using redundant field initializer for 'useCache'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.order","/app/sm-core-model/src/main/java/com/salesmanager/core/model/order/Order.java","3","84","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
"2","com.salesmanager.core.model.order","/app/sm-core-model/src/main/java/com/salesmanager/core/model/order/Order.java","3","118","Avoid using redundant field initializer for 'delivery'","Performance","RedundantFieldInitializer"
"3","com.salesmanager.core.model.order","/app/sm-core-model/src/main/java/com/salesmanager/core/model/order/Order.java","3","122","Avoid using redundant field initializer for 'billing'","Performance","RedundantFieldInitializer"
"4","com.salesmanager.core.model.order","/app/sm-core-model/src/main/java/com/salesmanager/core/model/order/Order.java","3","125","Avoid using redundant field initializer for 'creditCard'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.order","/app/sm-core-model/src/main/java/com/salesmanager/core/model/order/OrderTotal.java","3","62","Avoid using redundant field initializer for 'orderTotalType'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.order","/app/sm-core-model/src/main/java/com/salesmanager/core/model/order/OrderTotalVariation.java","3","13","Avoid using redundant field initializer for 'variations'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.payments","/app/sm-core-model/src/main/java/com/salesmanager/core/model/payments/Payment.java","3","15","Avoid using redundant field initializer for 'paymentMetaData'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.search","/app/sm-core-model/src/main/java/com/salesmanager/core/model/search/SearchKeywords.java","3","26","Avoid instantiating new objects inside loops","Performance","AvoidInstantiatingObjectsInLoops"
"1","com.salesmanager.core.model.search","/app/sm-core-model/src/main/java/com/salesmanager/core/model/search/SearchResponse.java","3","8","Avoid using redundant field initializer for 'totalCount'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.model.search","/app/sm-core-model/src/main/java/com/salesmanager/core/model/search/SearchResponse.java","3","9","Avoid using redundant field initializer for 'entryCount'","Performance","RedundantFieldInitializer"
